station,date,air_temperature_celcius,relative_humidity,windspeed_knots,max_wind_speed,precipitation ,GHI_w/m2
948702,15-10-18,13,50.7,6.1,13, 0.00I,111
948702,16-10-18,19,54.3,5.9,12, 0.00I,157
948702,17-10-18,22,46.8,8,16.9, 0.00I,194
948702,18-10-18,26,52.2,13.7,16.9, 0.00I,219
948702,19-10-18,15,51,9.6,15.9, 0.16G,128
948702,20-10-18,13,42,11.4,16.9, 0.00G,119
948702,21-10-18,12,47.3,9.7,14, 0.02G,105
948702,22-10-18,13,50.3,8.6,13, 0.02G,111
948702,23-10-18,14,49.5,6,12, 0.00G,121
948702,24-10-18,15,53.7,6.8,11.1, 0.51G,125
948702,25-10-18,14,51,9.1,12, 0.00G,119
948702,26-10-18,13,50.4,7.9,14, 0.00I,111
948702,27-10-18,22,46.9,12.9,19, 0.00I,193
948702,28-10-18,15,48.7,8.5,20, 0.01G,130
948702,29-10-18,17,44.9,16.1,27, 0.24G,152
948702,30-10-18,11,43.2,8.1,14, 0.20G,100
948702,31-10-18,13,47.1,8.1,12, 0.01G,114
948702,01-11-18,13,50.1,8.5,12, 0.08G,111
948702,02-11-18,12,43.8,6.7,14, 0.16G,108
948702,03-11-18,11,40.4,9.2,15, 0.04G,102
948702,04-11-18,11,41.4,7.7,15, 0.03G,101
948702,05-11-18,13,43.3,9.4,14, 0.00G,118
948702,06-11-18,13,44.1,12.9,19, 0.02G,117
948702,07-11-18,12,42.7,10,15.9, 0.01G,109
948702,08-11-18,12,46.6,6.7,14, 0.00G,106
948702,09-11-18,14,50.9,5.9,13, 0.00I,119
948702,10-11-18,18,53.8,6.4,11.1, 0.00I,149
948702,11-11-18,18,55.6,8.2,12, 0.00I,147
948702,12-11-18,18,53.8,6.7,14, 0.00I,149
948702,13-11-18,24,51.9,7.3,13, 0.00I,202
948702,14-11-18,28,48.3,11.9,22, 0.00I,243
948702,15-11-18,21,58.8,8.8,22.9, 0.08G,167
948702,16-11-18,18,61.5,5.5,11.1, 0.28G,140
948702,17-11-18,19,58.7,5.5,12, 0.28G,151
948702,18-11-18,20,58.4,4.7,11.1, 0.01G,159
948702,19-11-18,22,57,8.5,15, 0.00G,178
948702,20-11-18,24,55.5,7.9,15, 0.00I,196
948702,21-11-18,24,51.8,7.9,15, 0.00I,203
948702,22-11-18,23,49.6,6.3,13, 0.00I,198
948702,23-11-18,24,56.8,5.7,9.9, 0.00I,194
948702,24-11-18,23,58.8,9.1,15, 0.01G,183
948702,25-11-18,24,60.1,8,13, 0.12G,188
948702,26-11-18,20,60.8,10.4,16.9, 0.08G,156
948702,27-11-18,17,52.7,7.7,14, 0.00G,142
948702,28-11-18,23,58.8,8.8,15, 0.00I,183
948702,29-11-18,28,56.7,9.3,16.9, 0.00I,227
948702,30-11-18,26,61,9.3,15, 0.20G,202
948702,01-12-18,17,59,9.4,15, 0.75G,135
948702,02-12-18,15,56.2,16.9,20, 1.77G,122
948702,03-12-18,14,48.2,12.5,19, 0.03G,122
948702,04-12-18,14,48.2,9.1,15, 0.00G,122
948702,05-12-18,17,53,14.6,22.9, 0.00I,142
948702,06-12-18,16,51.7,7.4,15, 0.00I,135
948702,07-12-18,15,51,9,13, 1.26G,128
948702,08-12-18,15,48.1,7.9,12, 0.00G,131
948702,09-12-18,17,53.6,7.6,15, 0.00I,141
948702,10-12-18,17,53.5,7.3,14, 0.00I,141
948702,11-12-18,17,52,8.8,15, 0.00I,143
948702,12-12-18,19,55.3,6.2,12, 0.00I,156
948702,13-12-18,28,49.9,11,19, 0.00I,240
948702,14-12-18,17,52.5,7.7,16.9, 0.00I,143
948702,15-12-18,18,52,7.1,14, 0.00I,152
948702,16-12-18,18,53.7,9,13, 0.00I,150
948702,17-12-18,21,58.7,7.8,13, 0.00I,167
948702,18-12-18,25,60.9,6.3,8.9, 0.00I,195
948702,19-12-18,21,57.4,10.7,22.9, 0.67G,169
948702,20-12-18,17,51.2,9.9,18.1, 0.00G,144
948702,21-12-18,17,52.5,5.7,11.1, 0.00I,143
