latitude,longitude,datetime,confidence,date,surface_temperature_celcius
-37.588,141.1843,2018-10-20T04:41:19,82,20-10-18,50
-37.296,141.1855,2018-10-20T00:27:12,65,20-10-18,54
-37.287,141.1856,2018-10-18T00:39:27,79,18-10-18,49
-37.295,141.1885,2018-10-18T00:39:27,75,18-10-18,46
-35.364,141.1907,2018-10-18T00:39:03,72,18-10-18,54
-35.89,141.1927,2018-10-18T00:39:02,84,18-10-18,59
-35.889,141.1987,2018-10-18T00:39:02,82,18-10-18,56
-35.892,141.2029,2018-10-18T00:39:02,71,18-10-18,49
-37.247,141.2064,2018-10-17T13:36:12,94,17-10-18,43
-35.937,141.2093,2018-10-17T04:10:59,73,17-10-18,51
-37.247,141.2238,2018-10-17T04:10:45,91,17-10-18,68
-37.587,141.2288,2018-10-17T04:10:38,58,17-10-18,41
-37.805,141.2317,2018-10-17T04:10:32,82,17-10-18,55
-37.288,141.232,2018-10-16T23:56:43,62,16-10-18,36
-37.294,141.2363,2018-10-15T04:23:01,100,15-10-18,87
-37.293,141.2381,2018-10-15T04:23:01,99,15-10-18,85
-36.851,141.2419,2018-10-15T00:08:42,78,15-10-18,46
-37.249,141.2426,2018-10-10T04:04:34,72,10-10-18,40
-38.127,141.2438,2018-10-10T04:04:19,96,10-10-18,77
-38.116,141.2448,2018-10-10T04:04:19,76,10-10-18,43
-37.245,141.245,2018-10-09T00:45:42,78,09-10-18,44
-37.091,141.2471,2018-10-08T04:16:48,72,08-10-18,41
-37.087,141.2508,2018-10-07T12:59:33,91,07-10-18,42
-35.962,141.2548,2018-10-06T04:29:25,76,06-10-18,42
-36.498,141.2589,2018-10-06T04:29:13,77,06-10-18,46
-36.418,141.259,2018-10-04T04:41:36,50,04-10-18,41
-37.38,141.2603,2018-10-04T04:41:02,80,04-10-18,46
-37.466,141.2627,2018-10-04T04:41:00,80,04-10-18,46
-37.472,141.2662,2018-10-04T04:41:00,85,04-10-18,54
-37.469,141.27,2018-10-04T04:41:00,88,04-10-18,58
-37.461,141.2705,2018-10-03T15:01:44,69,03-10-18,33
-37.459,141.271,2018-10-03T13:23:43,92,03-10-18,42
-37.236,141.2755,2018-10-03T03:58:28,68,03-10-18,37
-37.227,141.278,2018-10-03T03:58:28,59,03-10-18,35
-37.242,141.2781,2018-10-03T03:58:28,77,03-10-18,43
-37.238,141.2799,2018-10-03T03:58:28,76,03-10-18,43
-37.365,141.2821,2018-10-03T03:58:15,90,03-10-18,63
-37.376,141.2905,2018-10-03T03:58:15,81,03-10-18,48
-37.375,141.2912,2018-10-03T03:58:15,82,03-10-18,49
-37.386,141.2933,2018-10-03T03:58:15,84,03-10-18,55
-37.384,141.2978,2018-10-03T03:58:15,90,03-10-18,63
-37.367,141.3,2018-10-03T03:58:15,71,03-10-18,55
-37.471,141.3006,2018-10-03T03:58:14,71,03-10-18,50
-37.462,141.3007,2018-10-03T03:58:14,100,03-10-18,90
-37.46,141.3013,2018-10-03T03:58:14,88,03-10-18,65
-37.469,141.3032,2018-10-03T03:58:14,87,03-10-18,59
-37.229,141.3034,2018-10-03T01:22:44,73,03-10-18,39
-37.227,141.3038,2018-10-03T01:22:44,54,03-10-18,31
-37.466,141.3047,2018-10-02T23:44:31,50,02-10-18,29
-37.475,141.3069,2018-10-02T04:53:10,59,02-10-18,40
-37.47,141.3095,2018-10-02T04:53:10,83,02-10-18,50
-37.485,141.3144,2018-10-02T04:53:10,71,02-10-18,43
-37.477,141.3146,2018-10-02T04:53:09,85,02-10-18,61
-37.461,141.3149,2018-10-02T00:39:34,76,02-10-18,42
-37.456,141.3188,2018-10-02T00:39:34,68,02-10-18,40
-37.463,141.3197,2018-10-01T15:13:56,62,01-10-18,34
-37.453,141.3203,2018-10-01T15:13:56,100,01-10-18,54
-37.461,141.3205,2018-10-01T13:36:02,77,01-10-18,36
-37.368,141.3253,2018-10-01T04:10:30,79,01-10-18,53
-37.478,141.3259,2018-10-01T04:10:28,84,01-10-18,52
-37.467,141.3268,2018-10-01T04:10:28,89,01-10-18,61
